Contributor,Commits,Added,Deleted,Repos
alainm23,107,5164787,5165027,2
muelli,520,491230,469557,27
catsout,272,345345,329701,21
proletarius101,385,370252,299143,30
joaquimrocha,57,291880,288776,5
larchunix,57,317,256262,1
github-actions[bot],561,211447,243368,22
refi64,286,256888,159716,24
Simon-Laux,48,132717,135551,1
flathubbot,12802,128439,132410,630
barthalion,1388,40881,131603,341
ransome1,207,119947,126516,1
Lunarequest,303,154907,84420,11
gasinvein,875,120015,75282,67
Sunderland93,114,70932,70810,1
kanru,75,101240,69785,1
bflanagin,41,68705,67969,1
GarboMuffin,31,107275,64273,1
MrMYHuang,19,74179,62904,1
ghisvail,551,79566,59975,20
ljrk0,55,99254,54689,1
xcffl,29,71334,53367,1
olof-nord,22,65047,48218,1
mat8913,30,47255,47112,1
DBChoco,81,48930,44196,2
tinywrkb,463,70261,43274,28
tim77,923,54760,42620,49
dusansimic,46,66240,42558,5
XargonWan,44,37887,37220,1
enzo1982,45,56688,35520,1
hfiguiere,1992,52815,35375,535
kfiven,42,28973,33733,1
birros,46,59315,33150,1
xduugu,20,1230,32214,4
dgcampea,106,35270,32160,42
andrevmatos,64,30532,30352,2
A6GibKm,610,19611,28854,79
PowerBall253,56,31101,27869,1
SpeedCode210,30,25626,25329,2
p2004a,16,33526,24988,1
andersk,8,25911,23578,1
scx,218,98863,22053,13
Eonfge,813,25127,21270,56
thecodrr,16,28991,20221,1
jonathon-love,223,45496,19657,1
StephenMcConnel,14,79443,18692,1
razzeee,98,2015,17678,33
jcupitt,25,18413,17497,1
vulongm,59,19280,17119,4
EchedeyLR,6,25598,16863,3
lazka,55,17039,16468,4
Erick555,508,48951,15955,94
Schmiddiii,82,12370,15636,3
Ovenoboyo,45,32789,15077,1
JorisGoosen,50,15213,15000,1
eszlari,871,21390,14743,165
rany2,175,13259,14393,6
Bohooslav,34,11111,13127,1
jwillikers,113,23194,12935,5
bilelmoussaoui,876,21130,12469,293
jarek-foksa,46,15470,12263,1
tsdgeos,1622,12415,11465,116
TingPing,1490,13339,11338,240
zigazajc007,18,14030,11229,1
AsavarTzeth,305,12623,11160,9
Unrud,741,14161,11042,28
Mar0xy,30,212,10768,1
tobias47n9e,39,26077,10296,1
hadess,539,41758,9996,22
jwheare,9,10108,9578,1
bbhtt,289,23925,9262,94
gdesmott,6,9189,9216,1
