Contributor,Commits,Added,Deleted,Repos
flathubbot,20321,200626,204289,847
hfiguiere,2608,68876,43341,735
barthalion,2039,51242,134706,413
bilelmoussaoui,940,22690,13768,341
TingPing,2037,16075,13681,296
bbhtt,960,43269,83766,288
nedrichards,515,5419,3517,250
AsciiWolf,718,12883,7291,233
lionirdeadman,300,4965,3052,217
eszlari,920,21644,14705,214
alexlarsson,335,13626,4142,204
travier,594,5707,3986,187
jurf,466,8386,7291,174
matthiasclasen,624,5616,4524,156
rexcze,154,308,308,154
Justinzobel,214,840,857,147
JakobDev,347,7250,2566,145
tsdgeos,1895,17010,17056,133
JobLeonard,130,260,0,130
LeandroStanger,513,2340,3321,118
Mailaender,269,35400,2300,112
Erick555,559,50064,19819,99
flyingcakes85,212,7924,1718,93
razzeee,240,4269,19879,91
A6GibKm,780,25162,31199,89
cho2,1163,4917,5108,77
FakeShemp,626,15416,9238,72
wjt,609,11884,6502,67
gasinvein,880,106424,75295,65
Eonfge,933,25729,21867,61
tim77,946,55584,42758,47
VoxelCubes,79,3018,1050,47
dgcampea,106,35270,32160,42
cosimoc,160,20082,1999,42
TheEvilSkeleton,232,3925,2979,38
corecontingency,125,1998,1399,36
Lctrs,506,4705,4004,36
grulja,185,6031,4088,36
farribeiro,143,598,705,35
Alexander-Wilms,540,10195,8085,35
proletarius101,538,609085,411114,33
Unrud,790,15921,11463,30
tchx84,181,14937,8734,30
muelli,539,493063,495922,29
tinywrkb,408,64436,42626,27
github-actions[bot],1068,259661,288605,26
hadess,667,103954,44812,25
sparshg,110,1562,453,25
refi64,333,264002,181912,24
kevinsmia1939,363,18360,14532,24
SudoSu-bham,24,72,0,24
CarlSchwan,112,52193,787,22
BigmenPixel0,98,1140,883,21
dependabot[bot],89,289,264,20
guihkx,245,13642,8279,20
ghisvail,583,81097,61641,20
Newbytee,87,2616,2386,19
ramcq,89,3729,288,19
catsout,296,349738,334040,19
BeverlyCode,351,1115,472,19
orowith2os,127,2975,18501,18
Zishan-Rahman,167,9104,2012,18
dylanmccall,174,135679,46565,17
cpba,247,2973,1894,17
jgarciao,17,30,26,17
pizzadude,34,270,114,17
sonnyp,101,13942,3760,17
Calinou,347,9275,2285,17
alexkdeveloper,361,1738,11373,17
ColinKinloch,117,3875,2501,16
nbenitez,42,22898,3240,16
alatiera,43,454,870,15
vchernin,202,5719,3617,14
danigm,209,2669,1420,14
cassidyjames,113,723,560,14
s96Abrar,138,2015,277,14
scx,218,98863,22053,13
jbruechert,231,11203,7386,13
espidev,149,1457,1041,13
AppleMayExist,30,1401,681,12
j8r,190,1712,2023,12
der-eismann,33,451,150,12
Etaash-mathamsetty,29,74,70,12
BurnerWah,24,57,9,12
HugLifeTiZ,29,437,125,11
X-m7,81,8550,4879,11
prodrigestivill,165,2057,1127,11
BrainBlasted,31,487,199,11
gottcode,270,824,465,11
Lunarequest,338,161015,103961,10
madoka773,121,3603,2930,10
Kekun,20,1031,76,10
sat3ll,92,924,538,10
GeorgesStavracas,74,1396,1134,10
DaPigGuy,14,136,24,10
xduugu,41,1348,33360,10
nahpotato,28,243,66,10
alice-mkh,23,335,367,9
tilosp,147,773,770,9
AsavarTzeth,305,12623,11160,9
ahayzen,29,350,231,9
aleixpol,165,6969,4247,9
pm4rcin,10,19,81,9
