Contributor,Commits,Added,Deleted,Repos
flathubbot,12802,128439,132410,630
hfiguiere,1992,52815,35375,535
tsdgeos,1622,12415,11465,116
TingPing,1490,13339,11338,240
barthalion,1388,40881,131603,341
cho2,1076,4635,4836,77
tim77,923,54760,42620,49
bilelmoussaoui,876,21130,12469,293
gasinvein,875,120015,75282,67
eszlari,871,21390,14743,165
Eonfge,813,25127,21270,56
Unrud,741,14161,11042,28
RyujinxBot,613,6340,5531,1
A6GibKm,610,19611,28854,79
FakeShemp,601,15275,9155,69
github-actions[bot],561,211447,243368,22
ghisvail,551,79566,59975,20
hadess,539,41758,9996,22
AsciiWolf,524,10639,6734,164
muelli,520,491230,469557,27
LeandroStanger,517,2345,3329,122
Erick555,508,48951,15955,94
wjt,508,9796,5072,55
Lctrs,490,4181,3345,37
Alexander-Wilms,485,9450,7386,34
tinywrkb,463,70261,43274,28
matthiasclasen,428,3852,3103,107
nedrichards,415,4433,3091,205
jurf,413,8326,7183,125
proletarius101,385,370252,299143,30
joelkraehemann,369,4920,3973,1
fastrizwaan,368,8438,6519,4
AsavarTzeth,305,12623,11160,9
Lunarequest,303,154907,84420,11
kevinsmia1939,298,4851,4354,22
bbhtt,289,23925,9262,94
refi64,286,256888,159716,24
alexkdeveloper,286,1127,8366,14
catsout,272,345345,329701,21
alexlarsson,262,12591,4060,153
lionirdeadman,254,4974,2812,172
travier,251,3363,1621,116
vikdevelop,238,6145,5983,5
cpba,233,2933,1839,17
nanonyme,231,2406,2133,8
TheEvilSkeleton,223,3482,2874,37
jonathon-love,223,45496,19657,1
ilya-fedin,222,3363,2940,2
chergert,221,11741,2285,3
scx,218,98863,22053,13
RobLoach,215,5445,3215,5
gottcode,210,699,391,11
ransome1,207,119947,126516,1
Taiko2k,207,6067,1800,2
rinigus,205,1226,577,3
flyingcakes85,204,7289,1132,91
JakobDev,198,4354,2147,80
danigm,197,2612,1374,12
stbergmann,191,3500,2839,1
Mailaender,187,25410,1078,91
Doomsdayrs,185,5966,3131,5
aleixpol,184,6724,4391,10
mirkobrombin,183,2305,1571,2
grulja,180,6021,4041,37
JBBgameich,177,7907,5212,7
rany2,175,13259,14393,6
Calinou,173,1619,1221,13
cbm755,172,1672,1388,3
mhoeher,170,603,557,1
ElXreno,169,2731,1404,7
Murmele,168,4425,3191,7
tchx84,165,14778,8688,29
cosimoc,161,20213,1999,43
Jenyay,155,1152,442,1
oliv3,152,439,819,1
j8r,151,1596,1880,11
vchernin,151,5339,3199,14
antenore,148,258361,748,1
codifryed,147,2543,1168,2
joshua-stone,145,1758,1229,7
AHappyUser,142,337,286,2
SISheogorath,141,1629,1218,6
tilosp,141,793,752,9
espidev,136,1318,1011,13
jmaibaum,135,4036,2898,4
Grumbel,130,2533,2191,9
kcseb,129,2775,1834,1
cobratbq,129,3062,1811,1
Sesivany,127,12783,8170,2
corecontingency,125,1983,1388,36
bochecha,125,4227,1488,19
prodrigestivill,124,1548,746,9
hughsie,123,2487,1554,6
guihkx,122,9454,4753,11
Bleuzen,120,1094,578,4
xarbit,116,2378,1449,1
felipeborges,116,57697,5122,3
orowith2os,115,1857,1109,16
valos,115,1956,908,1
dylanmccall,114,6538,4962,13
Sunderland93,114,70932,70810,1
JordanL2,114,1358,1061,2
PurpleHorrorRus,114,614,528,1
jwillikers,113,23194,12935,5
janbar,113,222,225,1
bellegarde-c,113,1373,637,5
s96Abrar,110,1939,115,14
linuxhw,110,1828,1294,1
flavioislima,109,1789,809,2
leinardi,108,4702,3272,4
alainm23,107,5164787,5165027,2
dgcampea,106,35270,32160,42
rexcze,105,210,210,105
kowalski7cc,105,3593,1436,5
rderooy,104,1465,806,3
ananace,103,2546,2610,7
CarlSchwan,101,50301,732,18
hakandundar34coding,100,481,310,2
farribeiro,98,474,583,26
razzeee,98,2015,17678,33
syco,98,6944,5134,2
mfschumann,98,4784,3171,1
liushuyu,98,1846,1293,2
mijorus,97,507,188,3
cgutman,97,452,325,1
ozmartian,96,1424,943,1
BigmenPixel0,94,1104,821,21
geigi,93,958,740,1
sat3ll,92,924,538,10
danyeaw,90,1755,1751,1
jralls,90,476,400,1
n-ham,89,217,156,1
ramcq,88,3723,285,19
4c0n,88,2207,1294,2
kparal,88,1619,1007,2
adil192,87,741,444,2
FuchtelJockel,86,7881,8484,1
nlogozzo,86,10718,6827,3
dreua,85,818,690,2
AdrianKoshka,83,2269,1827,2
sonnyp,82,1413,1902,16
Pobega,82,1307,475,4
corna,82,2633,1564,2
Schmiddiii,82,12370,15636,3
axtloss,82,609,210,2
cvfosammmm,82,919,321,2
bermeitinger-b,82,673,537,1
j0chn1,81,544,399,1
noonsleeper,81,169,86,1
DBChoco,81,48930,44196,2
JobLeonard,79,158,0,79
vladimiry,79,730,494,1
skyjake,79,260,166,2
prateekmedia,78,2483,2316,3
SeaDve,78,1445,1225,5
actionless,77,944,807,1
ChristopherHX,77,1684,1350,1
fedelibre,76,3201,2527,5
mbunkus,76,235,200,1
kanru,75,101240,69785,1
divVerent,75,1564,942,1
Thelolguy1,75,8230,2127,2
g-fb,74,611,377,4
dginovker,74,662,235,4
joshuag1000,73,1116,542,7
jkotra,73,605,175,2
dac73,73,1832,1753,3
felipehw,73,611,424,2
PopoutApps,72,1621,1384,1
arteymix,72,756,238,4
flxzt,71,426,367,1
shinyquagsire23,71,252,196,1
GeorgesStavracas,70,1286,1120,8
Laserlicht,70,751,448,2
MatMaul,70,2386,2270,1
darkdragon-001,69,1939,1501,6
rafatosta,69,287,230,1
paolostivanin,68,857,639,3
rkoesters,68,984,619,1
rowbawts,68,422,440,2
X-m7,68,7324,4524,9
alariej,67,669,494,1
mrquantumoff,67,590,527,1
ssssam,67,2295,892,1
gerlachs,67,2468,1330,1
Rafostar,66,6474,4106,1
iwalton3,65,3108,1264,2
andrevmatos,64,30532,30352,2
valentindavid,64,8651,238,7
rmnvgr,64,1471,936,5
muriloventuroso,64,520,158,3
actions-user,64,541,365,3
g-maxime,64,1471,651,7
elescoute,64,223,137,2
fmuellner,64,3295,1816,3
rncbc,64,271,332,2
create3000,63,1648,1086,1
hmlendea,63,4887,3925,3
mikix,63,3172,1389,2
mtmiller,63,686,502,1
Garbee,62,736,668,1
