Contributor,Commits,Added,Deleted,Repos
merlijn-sebrechts,293,31147,66971,30
xordspar0,1,20286,20293,1
flexiondotorg,1088,77585,6667,61
brlin-tw,228,2488,2033,10
popey,464,6441,1652,76
joedborg,64,1056,359,6
lotharsm,89,464,332,1
kenvandine,20,101,331,5
tunix,33,580,215,2
ymauray,10,444,156,3
bashfulrobot,30,360,134,2
om26er,53,364,131,4
evandandrea,56,375,119,45
sergiusens,24,153,115,8
junglerobba,23,158,114,1
NucciTheBoss,10,319,112,1
mr-cal,9,372,110,3
AlanGriffiths,20,250,92,1
keshavbhatt,1,101,89,1
konrad11901,14,113,87,2
jameschensmith,2,80,80,1
ThyMYthOS,15,87,79,2
kyrofa,21,178,79,2
lucyllewy,21,208,78,6
athos-ribeiro,25,128,57,1
jnsgruk,19,112,57,1
cmatsuoka,3,101,57,2
Nissaar,13,63,50,1
khiemdoan,9,36,45,2
LaughingLove,7,53,38,1
IvanFon,8,52,37,1
daniellimws,5,42,33,1
Ads20000,14,28,31,10
ivocavalcante,2,84,28,1
posix4e,4,31,28,1
caldav,1,76,27,1
mmtrt,6,45,26,1
snapcrafters-bot,23,23,23,1
the-mentor,3,20,22,1
plasmus777,6,50,21,2
joshuasing,7,13,19,1
jhenstridge,4,182,17,1
jssotomdz,1,18,13,1
past-due,2,16,11,1
ryanjyoder,2,8,11,1
agmckee,2,21,10,1
Saviq,2,3,8,1
jwillikers,5,18,8,1
SMontiel,2,7,6,1
igorljubuncic,3,15,6,3
luk3yx,5,192,6,1
j1mc,2,5,5,1
mcphail,3,21,5,2
ogra1,2,5,4,1
abitrolly,2,3,4,1
awesome-manuel,1,3,4,1
marhg-335,2,4,4,1
realHenningLorenzen,3,4,4,1
donat,4,4,4,1
stevencrader,4,4,4,1
mariovalney,1,6,4,1
kaincenteno,1,8,4,1
jellisii,3,4,4,1
rajabiy,2,3,3,2
sparkiegeek,3,9,3,1
Jayman2000,2,3,3,1
woutervb,2,4,2,1
coder966,1,2,2,1
MrCarroll,2,2,2,2
kam1kaze,1,2,2,1
hho,2,2,2,1
dnetguru,2,2,2,1
rpodcast,1,2,2,1
techtonik,2,4,2,2
djbrown,1,2,2,1
lengau,1,1,1,1
kaihowl,1,1,1,1
guss77,1,1,1,1
casperdcl,1,1,1,1
paroj,2,7,1,1
chrismin13,1,6,1,1
nnewc,1,1,1,1
volaka,1,1,1,1
paulgear,1,1,1,1
xasor,1,1,1,1
Nittarab,1,1,1,1
AntonOfTheWoods,1,1,1,1
bacongobbler,1,1,1,1
thefenriswolf,1,1,1,1
devinbinnie,1,1,1,1
philclifford,1,1,1,1
extraymond,1,1,1,1
jamesbeedy,2,1,1,1
axinojolais,3,4,1,1
n8marti,1,10,1,1
zyga,1,1,1,1
ankurkotwal,1,1,1,1
snap-advocacy-bot,493,493,0,64
mmartinortiz,1,11,0,1
aminya,1,1,0,1
ultraviolet-1986,1,1,0,1
MuffinCollector,1,2,0,1
vemilyus,1,18,0,1
ralight,3,12,0,3
mainmachine,1,1,0,1
didrocks,2,21,0,1
barryprice,1,51,0,1
3v1n0,1,2,0,1
mhcerri,1,38,0,1
Josh-MB,1,17,0,1
janakelarsson,1,2,0,1
DL6ER,1,16,0,1
100terres,1,2,0,1
hairychris,1,1,0,1
