Contributor,Commits,Added,Deleted,Repos
popey,509,7134,4042,77
snap-advocacy-bot,499,499,0,65
flexiondotorg,1196,79505,8023,62
evandandrea,58,452,121,46
merlijn-sebrechts,349,31700,67219,42
jnsgruk,283,13399,5624,29
snapcrafters-bot,312,4658,2459,24
lucyllewy,31,4211,97,11
sergiusens,28,182,124,11
soumyaDghosh,166,22353,21854,11
brlin-tw,231,2520,2080,11
Ads20000,14,28,31,10
joedborg,64,1056,359,6
lengau,99,2159,767,5
kenvandine,23,117,335,5
kz6fittycent,82,1981,1179,5
om26er,53,364,131,4
mr-cal,11,373,113,4
3v1n0,6,158,39,3
ralight,3,12,0,3
dependabot[bot],7,13,13,3
cmatsuoka,6,125,94,3
ymauray,10,444,156,3
tunix,33,580,215,2
rajabiy,2,3,3,2
khiemdoan,9,36,45,2
plasmus777,6,50,21,2
ThyMYthOS,18,97,87,2
vemilyus,2,36,0,2
paroj,4,14,2,2
JGCarroll,2,2,2,2
kyrofa,21,178,79,2
konrad11901,14,113,87,2
bashfulrobot,30,360,134,2
techtonik,2,4,2,2
mcphail,3,21,5,2
ivocavalcante,2,84,28,1
compuguy,1,1,1,1
LarssonOliver,1,1,1,1
setharnold,1,2,0,1
jssotomdz,1,18,13,1
kaihowl,1,1,1,1
jameschensmith,1,1,1,1
spyridonas,2,2,2,1
guss77,1,1,1,1
coder966,1,2,2,1
SMontiel,2,7,6,1
mmartinortiz,1,11,0,1
casperdcl,1,1,1,1
aminya,1,1,0,1
ogra1,2,5,4,1
posix4e,4,31,28,1
athos-ribeiro,25,128,57,1
abitrolly,2,3,4,1
ultraviolet-1986,1,1,0,1
MuffinCollector,1,2,0,1
joshuasing,7,13,19,1
awesome-manuel,1,3,4,1
agmckee,2,21,10,1
marhg-335,2,4,4,1
Mailaender,7,44,12,1
IvanFon,8,52,37,1
saltiyazan,1,899,15,1
cjwatson,1,26,21,1
mainmachine,1,1,0,1
realHenningLorenzen,3,4,4,1
donat,4,4,4,1
didrocks,2,21,0,1
jhenstridge,4,182,17,1
shakeelansari63,1,1,1,1
AntonOfTheWoods,1,1,1,1
Nittarab,1,1,1,1
kam1kaze,1,2,2,1
nnewc,1,1,1,1
volaka,1,1,1,1
paulgear,1,1,1,1
xasor,1,1,1,1
dnetguru,2,2,2,1
hho,2,2,2,1
gbonnefille,2,2,2,1
barryprice,1,51,0,1
thefenriswolf,1,1,1,1
NucciTheBoss,10,319,112,1
devinbinnie,1,1,1,1
moon127,2,4,3,1
j1mc,2,5,5,1
luk3yx,5,192,6,1
arif-ali,1,293,21,1
mhcerri,1,38,0,1
SophieLabs,1,17,0,1
philclifford,1,1,1,1
janakelarsson,1,2,0,1
rpodcast,1,2,2,1
flurick,1,2,2,1
keshavbhatt,1,101,89,1
junglerobba,23,158,114,1
extraymond,1,1,1,1
Nissaar,13,63,50,1
caldav,1,76,27,1
Saviq,2,3,8,1
AlanGriffiths,20,250,92,1
lotharsm,89,464,332,1
jamesbeedy,2,1,1,1
sparkiegeek,3,9,3,1
axinojolais,3,4,1,1
zsdev-szymon,1,1,1,1
DL6ER,1,16,0,1
100terres,1,2,0,1
onovy,2,1,1,1
chrismin13,1,6,1,1
n8marti,1,10,1,1
mmtrt,12,81,33,1
Jayman2000,2,3,3,1
ricab,1,1,1,1
zyga,1,1,1,1
ankurkotwal,1,1,1,1
stevencrader,4,4,4,1
jwillikers,5,18,8,1
gapplef,1,5,5,1
mariovalney,1,6,4,1
LaughingLove,7,53,38,1
auto-update-bot[bot],17,21,25,1
xordspar0,1,20286,20293,1
daniellimws,5,42,33,1
hairychris,1,1,0,1
djbrown,1,2,2,1
past-due,2,16,11,1
github-actions[bot],8,8,8,1
the-mentor,3,20,22,1
tobhe,1,27,18,1
kaincenteno,1,8,4,1
ryanjyoder,2,8,11,1
jellisii,3,4,4,1
